typL,liczbaL,typS,liczbS,typP,liczbaP,typWrogaL,liczbaWrogaL,typWrogaS,liczbWrogaS,typWrogaP,liczbaWrogaP,wygrana
artylerzysci,8,artylerzysci,292,artylerzysci,98,konnica,206,piechurzy,150,konnica,73,0
artylerzysci,92,piechurzy,6,artylerzysci,226,piechurzy,176,artylerzysci,401,artylerzysci,93,0
piechurzy,217,artylerzysci,9,konnica,203,artylerzysci,261,piechurzy,21,piechurzy,160,1
konnica,303,piechurzy,8,piechurzy,44,piechurzy,264,konnica,119,piechurzy,87,1
artylerzysci,23,konnica,219,artylerzysci,108,konnica,167,artylerzysci,134,konnica,12,1
artylerzysci,297,piechurzy,20,artylerzysci,48,konnica,78,piechurzy,305,konnica,233,0
artylerzysci,131,piechurzy,165,konnica,82,piechurzy,346,piechurzy,152,konnica,10,1
artylerzysci,286,artylerzysci,111,artylerzysci,49,artylerzysci,73,artylerzysci,73,piechurzy,306,1
artylerzysci,317,konnica,61,artylerzysci,16,konnica,179,konnica,29,konnica,151,0
piechurzy,204,konnica,113,konnica,42,piechurzy,344,piechurzy,290,konnica,80,0
piechurzy,270,konnica,18,konnica,58,konnica,48,konnica,149,artylerzysci,97,0
konnica,125,piechurzy,225,artylerzysci,45,konnica,95,piechurzy,193,artylerzysci,225,0
piechurzy,155,konnica,32,konnica,223,piechurzy,93,konnica,369,artylerzysci,15,1
artylerzysci,124,piechurzy,33,piechurzy,167,piechurzy,332,konnica,224,artylerzysci,68,0
artylerzysci,269,artylerzysci,104,piechurzy,11,artylerzysci,138,artylerzysci,393,konnica,99,0
konnica,268,piechurzy,49,konnica,10,konnica,175,artylerzysci,187,piechurzy,140,0
konnica,24,konnica,218,piechurzy,64,konnica,46,piechurzy,69,konnica,286,0
piechurzy,248,artylerzysci,47,konnica,82,piechurzy,173,piechurzy,342,konnica,190,0
konnica,157,piechurzy,77,piechurzy,29,artylerzysci,102,piechurzy,339,artylerzysci,235,0
piechurzy,227,artylerzysci,198,artylerzysci,35,konnica,312,artylerzysci,69,piechurzy,102,0
piechurzy,266,piechurzy,183,artylerzysci,92,artylerzysci,374,artylerzysci,23,piechurzy,170,0
artylerzysci,310,piechurzy,114,artylerzysci,41,konnica,264,artylerzysci,51,konnica,78,0
piechurzy,173,artylerzysci,118,konnica,154,piechurzy,144,konnica,140,konnica,175,0
konnica,91,artylerzysci,126,piechurzy,80,artylerzysci,133,piechurzy,301,artylerzysci,141,0
konnica,52,artylerzysci,176,piechurzy,121,konnica,81,artylerzysci,127,piechurzy,282,0
artylerzysci,48,artylerzysci,180,piechurzy,6,konnica,349,piechurzy,147,konnica,11,0
piechurzy,5,konnica,194,piechurzy,115,piechurzy,243,piechurzy,276,konnica,121,0
piechurzy,333,konnica,153,artylerzysci,32,konnica,237,konnica,259,piechurzy,6,0
konnica,115,artylerzysci,105,artylerzysci,25,artylerzysci,50,piechurzy,446,konnica,145,0
artylerzysci,305,artylerzysci,2,piechurzy,75,piechurzy,470,artylerzysci,220,artylerzysci,6,0
konnica,57,artylerzysci,244,konnica,33,artylerzysci,261,konnica,170,artylerzysci,29,0
konnica,351,piechurzy,1,artylerzysci,1,artylerzysci,379,piechurzy,128,artylerzysci,39,1
artylerzysci,56,konnica,34,konnica,115,artylerzysci,132,artylerzysci,400,konnica,96,0
artylerzysci,146,konnica,189,konnica,34,piechurzy,415,artylerzysci,228,piechurzy,56,1
konnica,70,piechurzy,158,artylerzysci,48,artylerzysci,298,piechurzy,56,konnica,143,0
piechurzy,264,konnica,202,piechurzy,7,artylerzysci,314,konnica,63,konnica,81,0
piechurzy,73,artylerzysci,114,artylerzysci,208,konnica,112,piechurzy,350,piechurzy,42,1
artylerzysci,77,konnica,251,konnica,24,konnica,191,konnica,100,piechurzy,33,1
artylerzysci,322,piechurzy,42,artylerzysci,64,artylerzysci,17,artylerzysci,122,piechurzy,292,1
artylerzysci,251,konnica,17,konnica,6,konnica,87,artylerzysci,412,piechurzy,45,0
artylerzysci,33,piechurzy,65,artylerzysci,94,konnica,233,artylerzysci,213,artylerzysci,74,0
piechurzy,338,konnica,102,konnica,38,artylerzysci,249,piechurzy,121,piechurzy,50,0
konnica,22,konnica,325,artylerzysci,3,konnica,11,artylerzysci,165,artylerzysci,325,0
piechurzy,153,konnica,32,konnica,177,konnica,157,artylerzysci,213,piechurzy,74,1
piechurzy,83,piechurzy,200,artylerzysci,193,artylerzysci,231,konnica,191,piechurzy,23,1
artylerzysci,50,konnica,231,artylerzysci,12,piechurzy,322,konnica,88,piechurzy,138,0
konnica,46,konnica,37,piechurzy,86,konnica,208,artylerzysci,183,artylerzysci,138,0
konnica,129,konnica,169,konnica,11,artylerzysci,298,konnica,242,konnica,26,0
piechurzy,65,konnica,247,artylerzysci,27,konnica,146,konnica,91,piechurzy,150,0
piechurzy,47,piechurzy,132,konnica,213,konnica,137,artylerzysci,83,piechurzy,271,0
piechurzy,176,artylerzysci,27,piechurzy,194,konnica,208,konnica,288,konnica,6,0
artylerzysci,102,artylerzysci,10,konnica,253,artylerzysci,39,artylerzysci,275,konnica,19,1
konnica,245,piechurzy,65,artylerzysci,66,konnica,502,artylerzysci,1,artylerzysci,2,0
konnica,124,piechurzy,74,piechurzy,40,konnica,154,piechurzy,84,konnica,242,0
piechurzy,61,konnica,102,artylerzysci,112,artylerzysci,189,piechurzy,153,konnica,148,0
piechurzy,236,konnica,161,artylerzysci,14,piechurzy,65,piechurzy,30,piechurzy,7,1
artylerzysci,204,konnica,11,konnica,38,piechurzy,45,piechurzy,229,artylerzysci,131,1
konnica,206,piechurzy,79,konnica,21,piechurzy,69,artylerzysci,271,artylerzysci,193,0
artylerzysci,214,piechurzy,125,artylerzysci,51,konnica,299,piechurzy,94,piechurzy,20,0
piechurzy,135,artylerzysci,279,konnica,37,artylerzysci,279,artylerzysci,247,artylerzysci,34,0
piechurzy,173,konnica,227,konnica,5,artylerzysci,270,artylerzysci,212,piechurzy,121,0
konnica,348,artylerzysci,4,piechurzy,1,artylerzysci,185,artylerzysci,302,artylerzysci,132,1
artylerzysci,107,piechurzy,67,piechurzy,186,piechurzy,350,artylerzysci,54,artylerzysci,124,0
konnica,107,piechurzy,199,artylerzysci,73,artylerzysci,353,konnica,192,piechurzy,1,0
piechurzy,334,piechurzy,30,konnica,33,artylerzysci,12,artylerzysci,44,piechurzy,263,0
konnica,118,piechurzy,129,artylerzysci,43,konnica,479,piechurzy,22,piechurzy,6,0
piechurzy,194,konnica,254,piechurzy,2,artylerzysci,265,konnica,66,artylerzysci,58,0
konnica,182,piechurzy,46,konnica,117,konnica,408,konnica,17,konnica,44,0
piechurzy,174,piechurzy,125,artylerzysci,184,piechurzy,191,konnica,318,artylerzysci,14,0
konnica,209,piechurzy,45,konnica,29,piechurzy,343,konnica,313,piechurzy,9,0
artylerzysci,254,piechurzy,21,artylerzysci,39,artylerzysci,21,piechurzy,436,konnica,180,0
piechurzy,195,piechurzy,76,piechurzy,180,artylerzysci,478,artylerzysci,69,konnica,44,0
piechurzy,54,konnica,10,konnica,144,piechurzy,381,piechurzy,61,konnica,22,0
artylerzysci,20,konnica,89,piechurzy,235,piechurzy,495,artylerzysci,143,konnica,144,0
piechurzy,26,konnica,285,piechurzy,8,konnica,112,konnica,165,piechurzy,94,0
konnica,341,konnica,7,konnica,2,piechurzy,63,piechurzy,86,artylerzysci,399,1
piechurzy,210,konnica,73,artylerzysci,81,konnica,402,konnica,24,piechurzy,40,0
piechurzy,206,piechurzy,35,konnica,204,artylerzysci,94,konnica,135,konnica,18,1
konnica,24,piechurzy,247,artylerzysci,180,artylerzysci,317,artylerzysci,149,konnica,130,0
konnica,81,konnica,120,piechurzy,11,piechurzy,180,artylerzysci,349,konnica,94,0
piechurzy,202,artylerzysci,57,konnica,106,artylerzysci,201,piechurzy,122,konnica,248,0
konnica,6,konnica,64,piechurzy,158,konnica,242,artylerzysci,28,piechurzy,152,0
konnica,242,konnica,71,artylerzysci,22,konnica,215,piechurzy,261,konnica,150,0
konnica,183,konnica,4,piechurzy,86,piechurzy,354,artylerzysci,227,artylerzysci,18,0
piechurzy,206,artylerzysci,247,piechurzy,10,piechurzy,11,konnica,453,konnica,38,0
artylerzysci,229,konnica,97,piechurzy,73,artylerzysci,329,artylerzysci,6,konnica,76,0
artylerzysci,266,artylerzysci,82,konnica,45,piechurzy,194,artylerzysci,301,konnica,146,1
artylerzysci,205,artylerzysci,20,piechurzy,25,konnica,73,artylerzysci,110,artylerzysci,103,0
artylerzysci,237,artylerzysci,16,konnica,141,konnica,469,piechurzy,26,konnica,5,0
artylerzysci,69,konnica,223,artylerzysci,47,konnica,220,piechurzy,227,piechurzy,51,0
artylerzysci,84,konnica,114,konnica,41,piechurzy,399,artylerzysci,73,konnica,119,0
artylerzysci,139,konnica,171,konnica,59,piechurzy,178,piechurzy,160,artylerzysci,96,1
konnica,105,konnica,155,konnica,11,piechurzy,96,konnica,12,konnica,50,1
artylerzysci,42,piechurzy,18,konnica,210,piechurzy,347,konnica,89,piechurzy,119,1
konnica,230,piechurzy,80,konnica,37,artylerzysci,342,artylerzysci,161,piechurzy,26,0
konnica,301,artylerzysci,42,piechurzy,13,konnica,166,piechurzy,237,artylerzysci,102,1
konnica,286,konnica,3,konnica,33,artylerzysci,256,artylerzysci,123,artylerzysci,49,1
piechurzy,335,piechurzy,166,artylerzysci,66,konnica,266,piechurzy,228,konnica,111,0
artylerzysci,188,konnica,147,konnica,15,konnica,436,konnica,32,piechurzy,13,0
konnica,244,piechurzy,60,artylerzysci,62,konnica,253,artylerzysci,195,konnica,97,0
konnica,61,piechurzy,210,piechurzy,124,konnica,502,artylerzysci,1,piechurzy,1,0
piechurzy,163,konnica,99,konnica,38,konnica,86,konnica,143,piechurzy,75,0
artylerzysci,90,konnica,131,piechurzy,1,piechurzy,240,piechurzy,269,piechurzy,178,0
konnica,233,konnica,3,piechurzy,94,piechurzy,283,piechurzy,167,artylerzysci,47,1
konnica,3,konnica,288,artylerzysci,46,artylerzysci,392,artylerzysci,120,piechurzy,81,0
piechurzy,182,artylerzysci,66,konnica,84,piechurzy,325,artylerzysci,203,konnica,60,0
konnica,16,konnica,75,artylerzysci,11,piechurzy,405,konnica,130,artylerzysci,116,0
piechurzy,81,konnica,194,konnica,15,konnica,459,piechurzy,35,artylerzysci,16,0
artylerzysci,217,piechurzy,65,artylerzysci,155,piechurzy,91,artylerzysci,447,piechurzy,58,1
piechurzy,280,artylerzysci,163,konnica,70,piechurzy,102,konnica,102,konnica,54,1
artylerzysci,175,piechurzy,215,artylerzysci,87,piechurzy,234,konnica,329,artylerzysci,21,1
konnica,250,konnica,51,konnica,1,konnica,308,konnica,32,konnica,47,0
artylerzysci,290,artylerzysci,89,artylerzysci,7,artylerzysci,379,konnica,146,piechurzy,70,0
konnica,276,artylerzysci,27,konnica,14,konnica,241,piechurzy,53,konnica,93,0
artylerzysci,20,artylerzysci,170,artylerzysci,176,piechurzy,161,artylerzysci,309,artylerzysci,156,0
konnica,322,konnica,18,piechurzy,1,artylerzysci,338,artylerzysci,155,artylerzysci,60,1
artylerzysci,282,artylerzysci,75,konnica,47,piechurzy,397,artylerzysci,63,konnica,123,1
konnica,262,piechurzy,63,konnica,7,konnica,175,piechurzy,16,piechurzy,266,0
artylerzysci,144,piechurzy,171,artylerzysci,59,artylerzysci,86,piechurzy,268,konnica,115,0
konnica,220,piechurzy,62,konnica,92,artylerzysci,171,artylerzysci,151,konnica,82,1
piechurzy,302,artylerzysci,49,artylerzysci,83,konnica,286,piechurzy,152,konnica,56,0
piechurzy,303,konnica,47,konnica,108,piechurzy,239,artylerzysci,125,artylerzysci,209,0
artylerzysci,350,konnica,73,piechurzy,10,konnica,352,konnica,118,artylerzysci,1,0
piechurzy,114,konnica,197,konnica,71,konnica,431,konnica,58,artylerzysci,1,0
piechurzy,297,artylerzysci,176,konnica,49,konnica,271,piechurzy,98,piechurzy,163,0
konnica,17,konnica,285,konnica,3,artylerzysci,338,konnica,185,konnica,35,0
artylerzysci,41,piechurzy,178,artylerzysci,230,artylerzysci,23,konnica,115,artylerzysci,131,1
konnica,263,konnica,23,artylerzysci,43,konnica,399,piechurzy,88,artylerzysci,39,0
artylerzysci,56,konnica,259,artylerzysci,25,konnica,264,artylerzysci,102,konnica,121,0
piechurzy,194,piechurzy,38,artylerzysci,232,artylerzysci,220,piechurzy,313,artylerzysci,18,0
konnica,213,konnica,133,piechurzy,1,artylerzysci,352,konnica,17,piechurzy,202,0
piechurzy,234,konnica,222,piechurzy,4,konnica,76,konnica,326,konnica,66,0
konnica,9,piechurzy,185,artylerzysci,96,piechurzy,78,artylerzysci,198,konnica,207,0
konnica,193,artylerzysci,127,artylerzysci,21,artylerzysci,347,konnica,21,piechurzy,41,1
piechurzy,284,piechurzy,79,artylerzysci,160,piechurzy,402,piechurzy,143,artylerzysci,136,0
piechurzy,297,konnica,65,piechurzy,86,artylerzysci,62,artylerzysci,27,konnica,74,1
konnica,234,konnica,31,konnica,87,konnica,451,artylerzysci,26,artylerzysci,25,0
konnica,274,artylerzysci,59,konnica,3,konnica,221,konnica,88,konnica,13,1
konnica,115,piechurzy,84,konnica,160,konnica,42,piechurzy,92,konnica,183,1
artylerzysci,282,artylerzysci,31,konnica,74,piechurzy,157,konnica,228,konnica,48,1
artylerzysci,287,piechurzy,103,piechurzy,22,artylerzysci,243,piechurzy,20,konnica,49,1
konnica,308,konnica,19,konnica,1,piechurzy,441,artylerzysci,59,piechurzy,26,1
artylerzysci,184,konnica,87,konnica,117,artylerzysci,169,piechurzy,120,artylerzysci,315,0
piechurzy,127,artylerzysci,198,piechurzy,134,artylerzysci,10,konnica,366,artylerzysci,110,0
artylerzysci,323,piechurzy,70,konnica,35,artylerzysci,145,piechurzy,355,konnica,72,1
konnica,123,konnica,70,artylerzysci,151,konnica,258,piechurzy,109,konnica,132,0
artylerzysci,319,artylerzysci,95,konnica,5,piechurzy,124,piechurzy,200,artylerzysci,105,1
konnica,322,konnica,19,piechurzy,3,artylerzysci,431,piechurzy,23,konnica,133,0
piechurzy,255,konnica,165,piechurzy,23,artylerzysci,468,piechurzy,69,piechurzy,85,0
konnica,162,artylerzysci,110,artylerzysci,97,artylerzysci,278,konnica,38,artylerzysci,184,0
artylerzysci,100,konnica,168,konnica,109,artylerzysci,180,artylerzysci,76,piechurzy,199,1
konnica,70,piechurzy,224,artylerzysci,81,konnica,155,konnica,135,konnica,177,0
piechurzy,286,artylerzysci,173,piechurzy,3,piechurzy,189,piechurzy,331,artylerzysci,196,0
piechurzy,248,artylerzysci,167,konnica,67,piechurzy,30,konnica,82,piechurzy,234,1
piechurzy,163,piechurzy,149,artylerzysci,79,artylerzysci,361,piechurzy,93,konnica,61,0
piechurzy,336,konnica,130,artylerzysci,43,piechurzy,462,artylerzysci,187,konnica,54,0
artylerzysci,25,artylerzysci,163,konnica,123,konnica,203,konnica,118,piechurzy,18,1
artylerzysci,247,piechurzy,155,artylerzysci,3,piechurzy,133,piechurzy,11,artylerzysci,39,1
konnica,30,artylerzysci,30,piechurzy,213,artylerzysci,320,artylerzysci,188,konnica,109,0
piechurzy,186,konnica,61,artylerzysci,175,artylerzysci,340,konnica,68,konnica,147,0
piechurzy,156,konnica,156,artylerzysci,20,konnica,21,piechurzy,165,artylerzysci,373,0
konnica,343,piechurzy,4,piechurzy,5,piechurzy,30,artylerzysci,340,artylerzysci,81,1
artylerzysci,38,konnica,56,artylerzysci,180,artylerzysci,91,artylerzysci,185,piechurzy,110,1
konnica,131,konnica,42,konnica,152,piechurzy,403,konnica,92,konnica,155,0
artylerzysci,189,konnica,95,piechurzy,52,artylerzysci,8,artylerzysci,218,artylerzysci,48,1
piechurzy,54,artylerzysci,224,artylerzysci,98,piechurzy,114,artylerzysci,115,artylerzysci,131,1
piechurzy,279,piechurzy,88,piechurzy,138,piechurzy,336,piechurzy,207,artylerzysci,155,0
konnica,331,konnica,13,artylerzysci,1,piechurzy,87,artylerzysci,233,piechurzy,86,1
piechurzy,278,artylerzysci,3,artylerzysci,125,piechurzy,222,artylerzysci,372,konnica,76,0
artylerzysci,129,piechurzy,147,artylerzysci,79,piechurzy,466,konnica,16,piechurzy,220,0
artylerzysci,60,artylerzysci,207,konnica,58,artylerzysci,449,artylerzysci,16,konnica,1,0
konnica,337,piechurzy,5,artylerzysci,8,piechurzy,279,artylerzysci,54,artylerzysci,125,1
piechurzy,184,konnica,122,artylerzysci,98,piechurzy,408,konnica,210,konnica,24,0
artylerzysci,164,piechurzy,155,konnica,64,artylerzysci,100,artylerzysci,144,artylerzysci,278,0
konnica,176,piechurzy,137,konnica,41,artylerzysci,111,piechurzy,191,artylerzysci,217,0
artylerzysci,57,artylerzysci,47,artylerzysci,138,artylerzysci,109,artylerzysci,178,piechurzy,107,1
piechurzy,128,piechurzy,14,artylerzysci,21,artylerzysci,113,piechurzy,371,piechurzy,186,0
artylerzysci,141,piechurzy,25,artylerzysci,172,piechurzy,365,konnica,84,konnica,116,0
artylerzysci,292,artylerzysci,15,konnica,11,piechurzy,35,konnica,138,artylerzysci,161,1
artylerzysci,214,artylerzysci,157,artylerzysci,40,artylerzysci,193,artylerzysci,56,artylerzysci,216,0
piechurzy,168,konnica,152,piechurzy,75,artylerzysci,337,artylerzysci,54,piechurzy,95,0
piechurzy,306,piechurzy,199,artylerzysci,61,artylerzysci,412,konnica,45,piechurzy,64,0
artylerzysci,100,konnica,11,piechurzy,75,konnica,84,artylerzysci,284,artylerzysci,202,0
artylerzysci,107,konnica,93,konnica,132,konnica,369,artylerzysci,110,artylerzysci,2,0
piechurzy,289,piechurzy,38,artylerzysci,24,konnica,409,artylerzysci,53,piechurzy,30,0
piechurzy,239,piechurzy,41,artylerzysci,48,piechurzy,428,artylerzysci,224,konnica,66,0
artylerzysci,343,artylerzysci,75,konnica,15,artylerzysci,226,konnica,62,piechurzy,230,0
artylerzysci,250,piechurzy,158,artylerzysci,26,piechurzy,102,artylerzysci,104,konnica,60,1
artylerzysci,204,artylerzysci,67,piechurzy,29,artylerzysci,407,piechurzy,161,piechurzy,45,0
konnica,31,artylerzysci,40,piechurzy,227,konnica,75,artylerzysci,152,piechurzy,149,0
piechurzy,169,artylerzysci,18,artylerzysci,63,artylerzysci,196,konnica,256,konnica,18,0
konnica,18,artylerzysci,194,konnica,88,artylerzysci,474,artylerzysci,3,piechurzy,8,0
konnica,140,konnica,117,piechurzy,51,artylerzysci,255,piechurzy,225,konnica,86,0
artylerzysci,72,konnica,34,artylerzysci,109,konnica,70,konnica,286,artylerzysci,39,0
konnica,11,artylerzysci,197,artylerzysci,80,piechurzy,296,piechurzy,344,konnica,67,0
artylerzysci,313,artylerzysci,96,artylerzysci,38,artylerzysci,470,artylerzysci,94,piechurzy,27,0
piechurzy,106,konnica,137,konnica,138,artylerzysci,48,piechurzy,156,piechurzy,159,1
piechurzy,223,piechurzy,219,piechurzy,74,konnica,437,piechurzy,30,artylerzysci,2,0
konnica,208,konnica,64,piechurzy,65,artylerzysci,312,piechurzy,224,artylerzysci,30,0
artylerzysci,174,piechurzy,6,artylerzysci,82,artylerzysci,238,artylerzysci,219,konnica,104,0
artylerzysci,162,artylerzysci,72,artylerzysci,64,konnica,361,konnica,22,konnica,59,0
artylerzysci,145,piechurzy,218,piechurzy,92,piechurzy,401,konnica,105,piechurzy,158,0
artylerzysci,306,piechurzy,115,artylerzysci,46,konnica,394,konnica,12,artylerzysci,86,0
piechurzy,53,konnica,302,piechurzy,8,konnica,183,konnica,13,konnica,220,0
konnica,159,piechurzy,68,konnica,109,artylerzysci,195,konnica,259,artylerzysci,95,0
artylerzysci,103,artylerzysci,222,artylerzysci,38,piechurzy,377,artylerzysci,61,piechurzy,129,1
konnica,88,piechurzy,164,piechurzy,165,artylerzysci,421,artylerzysci,171,konnica,28,0
konnica,264,piechurzy,29,artylerzysci,48,konnica,405,konnica,71,artylerzysci,13,0
piechurzy,188,artylerzysci,155,artylerzysci,70,piechurzy,294,artylerzysci,270,piechurzy,123,0
konnica,156,artylerzysci,111,artylerzysci,28,artylerzysci,152,konnica,289,piechurzy,90,0
artylerzysci,103,konnica,254,piechurzy,16,artylerzysci,102,konnica,292,konnica,21,0
artylerzysci,155,artylerzysci,170,konnica,93,konnica,460,artylerzysci,37,artylerzysci,11,0
artylerzysci,214,konnica,168,piechurzy,15,konnica,104,konnica,339,piechurzy,28,0
artylerzysci,263,konnica,87,konnica,32,piechurzy,263,konnica,276,piechurzy,7,1
konnica,204,konnica,82,artylerzysci,20,piechurzy,278,piechurzy,111,konnica,211,0
konnica,342,konnica,1,artylerzysci,3,piechurzy,72,konnica,282,konnica,56,1
artylerzysci,66,piechurzy,220,konnica,7,piechurzy,211,artylerzysci,361,konnica,119,0
konnica,295,konnica,41,konnica,9,artylerzysci,496,konnica,50,artylerzysci,56,0
konnica,89,konnica,152,artylerzysci,38,piechurzy,156,piechurzy,277,konnica,120,0
piechurzy,101,artylerzysci,171,artylerzysci,51,konnica,464,artylerzysci,5,piechurzy,10,0
piechurzy,338,konnica,16,piechurzy,141,piechurzy,25,piechurzy,211,piechurzy,193,1
konnica,49,piechurzy,50,konnica,236,piechurzy,145,konnica,215,konnica,163,0
artylerzysci,176,konnica,12,piechurzy,199,piechurzy,294,piechurzy,323,piechurzy,124,0
artylerzysci,79,konnica,238,konnica,26,konnica,372,konnica,18,konnica,30,0
piechurzy,31,piechurzy,211,konnica,114,konnica,389,artylerzysci,70,piechurzy,19,0
artylerzysci,102,artylerzysci,152,konnica,119,konnica,369,artylerzysci,20,artylerzysci,61,0
artylerzysci,205,piechurzy,95,piechurzy,121,piechurzy,68,piechurzy,416,piechurzy,191,1
piechurzy,264,artylerzysci,198,piechurzy,69,artylerzysci,87,konnica,337,konnica,67,0
piechurzy,170,artylerzysci,51,artylerzysci,136,konnica,48,piechurzy,442,artylerzysci,49,0
konnica,327,konnica,12,piechurzy,12,konnica,393,piechurzy,42,artylerzysci,65,0
artylerzysci,14,artylerzysci,162,artylerzysci,111,artylerzysci,261,konnica,302,artylerzysci,4,0
artylerzysci,32,konnica,238,piechurzy,21,piechurzy,224,piechurzy,324,piechurzy,167,0
artylerzysci,160,konnica,165,piechurzy,40,konnica,308,konnica,171,piechurzy,17,0
piechurzy,300,artylerzysci,28,konnica,72,artylerzysci,30,piechurzy,446,piechurzy,147,0
artylerzysci,85,konnica,191,piechurzy,40,artylerzysci,341,konnica,64,artylerzysci,13,0
piechurzy,4,piechurzy,264,artylerzysci,188,piechurzy,158,piechurzy,378,piechurzy,16,1
konnica,294,piechurzy,13,artylerzysci,15,konnica,62,konnica,262,konnica,103,0
artylerzysci,113,artylerzysci,213,artylerzysci,57,konnica,244,konnica,131,piechurzy,33,0
artylerzysci,312,artylerzysci,65,konnica,45,piechurzy,42,piechurzy,472,artylerzysci,70,1
piechurzy,157,piechurzy,172,piechurzy,17,konnica,448,artylerzysci,38,artylerzysci,9,0
artylerzysci,221,konnica,138,artylerzysci,43,piechurzy,222,artylerzysci,26,piechurzy,98,1
konnica,306,piechurzy,9,konnica,18,artylerzysci,254,piechurzy,172,piechurzy,169,1
artylerzysci,79,artylerzysci,41,konnica,262,piechurzy,414,piechurzy,57,artylerzysci,3,1
artylerzysci,94,konnica,91,konnica,160,konnica,243,artylerzysci,81,konnica,42,0
konnica,60,piechurzy,241,konnica,157,piechurzy,372,artylerzysci,165,artylerzysci,5,1
konnica,114,artylerzysci,111,artylerzysci,49,artylerzysci,114,konnica,365,artylerzysci,34,0
piechurzy,341,artylerzysci,178,artylerzysci,38,konnica,6,konnica,416,piechurzy,53,0
artylerzysci,139,piechurzy,152,artylerzysci,41,konnica,357,piechurzy,7,piechurzy,52,0
artylerzysci,139,piechurzy,78,piechurzy,135,piechurzy,399,piechurzy,93,artylerzysci,26,0
piechurzy,38,piechurzy,330,artylerzysci,145,konnica,288,piechurzy,56,piechurzy,171,0
konnica,344,konnica,5,konnica,2,artylerzysci,420,artylerzysci,179,artylerzysci,20,0
piechurzy,331,piechurzy,95,konnica,48,konnica,427,piechurzy,28,konnica,47,0
konnica,245,konnica,95,piechurzy,3,piechurzy,236,artylerzysci,154,konnica,179,1
konnica,305,artylerzysci,11,konnica,19,konnica,381,piechurzy,72,piechurzy,73,0
konnica,305,konnica,24,konnica,10,piechurzy,442,konnica,104,konnica,48,1
piechurzy,68,konnica,124,konnica,20,artylerzysci,347,artylerzysci,153,konnica,69,0
piechurzy,229,piechurzy,233,artylerzysci,116,piechurzy,109,piechurzy,137,artylerzysci,341,0
konnica,288,piechurzy,22,artylerzysci,25,artylerzysci,86,artylerzysci,434,artylerzysci,91,0
artylerzysci,192,artylerzysci,7,piechurzy,171,artylerzysci,34,artylerzysci,23,konnica,260,0
konnica,140,piechurzy,40,konnica,53,artylerzysci,150,artylerzysci,2,artylerzysci,165,0
artylerzysci,349,konnica,45,artylerzysci,20,konnica,270,konnica,67,konnica,163,0
konnica,344,konnica,8,artylerzysci,2,konnica,348,artylerzysci,28,konnica,77,0
piechurzy,7,konnica,93,piechurzy,86,artylerzysci,393,konnica,164,piechurzy,34,0
konnica,66,artylerzysci,44,artylerzysci,15,artylerzysci,119,artylerzysci,198,konnica,234,0
konnica,151,artylerzysci,129,piechurzy,27,artylerzysci,449,piechurzy,140,konnica,68,0
artylerzysci,275,artylerzysci,127,piechurzy,12,konnica,139,artylerzysci,264,artylerzysci,123,0
artylerzysci,89,piechurzy,165,piechurzy,81,konnica,391,konnica,31,artylerzysci,27,0
piechurzy,71,piechurzy,152,artylerzysci,186,konnica,408,piechurzy,42,konnica,17,0
konnica,234,artylerzysci,46,artylerzysci,34,konnica,29,konnica,9,artylerzysci,329,1
piechurzy,47,piechurzy,312,artylerzysci,69,konnica,423,piechurzy,31,artylerzysci,63,0
konnica,230,piechurzy,20,artylerzysci,78,piechurzy,327,artylerzysci,127,konnica,33,1
piechurzy,206,artylerzysci,187,piechurzy,105,piechurzy,191,konnica,239,piechurzy,1,0
piechurzy,242,konnica,191,piechurzy,27,konnica,400,piechurzy,15,artylerzysci,17,0
piechurzy,187,piechurzy,240,artylerzysci,44,artylerzysci,188,konnica,63,piechurzy,132,0
konnica,314,konnica,3,artylerzysci,27,artylerzysci,314,piechurzy,33,konnica,147,1
piechurzy,220,konnica,109,artylerzysci,64,piechurzy,65,konnica,18,piechurzy,444,0
artylerzysci,138,artylerzysci,79,piechurzy,156,artylerzysci,85,konnica,273,piechurzy,57,0
artylerzysci,14,artylerzysci,202,artylerzysci,5,artylerzysci,242,artylerzysci,78,artylerzysci,124,0
piechurzy,184,konnica,249,konnica,10,konnica,263,konnica,132,konnica,57,0
konnica,101,konnica,80,piechurzy,149,piechurzy,313,piechurzy,41,piechurzy,212,0
artylerzysci,105,konnica,206,piechurzy,60,artylerzysci,16,piechurzy,194,artylerzysci,113,1
artylerzysci,79,konnica,98,artylerzysci,96,artylerzysci,327,konnica,149,artylerzysci,95,0
piechurzy,159,piechurzy,124,konnica,91,piechurzy,171,konnica,135,piechurzy,134,0
piechurzy,184,piechurzy,143,konnica,16,konnica,6,piechurzy,171,artylerzysci,254,0
konnica,302,piechurzy,36,konnica,25,artylerzysci,458,konnica,21,konnica,4,1
piechurzy,34,artylerzysci,321,piechurzy,58,artylerzysci,385,piechurzy,50,artylerzysci,85,0
konnica,325,konnica,15,piechurzy,7,konnica,276,piechurzy,135,artylerzysci,72,0
piechurzy,267,piechurzy,28,piechurzy,119,artylerzysci,387,konnica,173,piechurzy,17,0
piechurzy,302,piechurzy,50,piechurzy,19,konnica,471,konnica,14,artylerzysci,7,0
konnica,130,artylerzysci,137,piechurzy,7,konnica,320,piechurzy,95,konnica,131,0
